"MovieName","Year","Director","SummaryLength","AactorLength","Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"백년의 유산",2013,"주성우",1,20,"드라마","유진","주연","이정진","주연","최원영","주연","윤아정","주연","신구","조연","정혜선","조연","정보석","조연","전인화","조연","김명수","조연","박준금","조연","권오중","조연","김희정","조연","이태우","조연","선우선","조연","박영규","조연","차화연","조연","남명렬","조연","박원숙","조연","서유승","조연","심이영","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"드라마 스페셜 - 환향-쥐불놀이",2012,"이원익",1,9,"드라마","원기준","주연","오인혜","주연","허윤정","주연","방중현","주연","주희중","주연","김새벽","주연","김호영","주연","장경아","주연","이범우","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"드라마 스페셜 - 기적 같은 기적",2012,"이은진",1,8,"드라마","남상미","주연","이천희","주연","라경덕","조연","이태우","조연","이주실","조연","구혜령","조연","김기천","조연","김승욱","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"드라마 스페셜 연작시리즈 - 아들을 위하여",2011,"홍석구",1,11,"드라마","최수종","주연","황수정","주연","장현성","주연","박원상","조연","현성","조연","황석정","조연","김민상","조연","서현석","조연","서지승","조연","김응수","조연","위현태","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"드라마 스페셜 - 복마전",2012,"문영진",1,7,"드라마","안내상","주연","최우석","주연","허재호","주연","정원중","주연","양승걸","주연","김천만","주연","윤순홍","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"오로라 공주",2013,"장준호",1,28,"드라마","전소민","주연","오창석","주연","서우림","주연","임예진","주연","박영규","주연","김보연","주연","손창민","주연","박해미","주연","오대규","주연","김혜은","주연","이상숙","주연","이아현","주연","이현경","주연","정주연","주연","김정도","주연","신주아","주연","변희봉","주연","정연주","주연","백옥담","주연","송원근","주연","서하준","주연","김동화","주연","임혁","주연","김영란","주연","김예령","주연","최소은","주연","강신하","조연","최현수","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"몸에 좋고 맛도 좋은",2010,"신기해",2,3,"드라마","코미디","조가비","주연","김태정","주연","이정희","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"제 7기사단",2015,"키리야 카즈아키",2,13,"액션","모험","클라이브 오웬","주연","모건 프리먼","주연","엑셀 헨니","주연","안성기","조연","박시연","조연","클리프 커티스","조연","아예렛 주러","조연","쇼레 아그다쉬루","조연","리 잉글리비","조연","이하라 츠요시","조연","제임스 밥슨","조연","클라라 이소바","조연","벤 실버맨","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"강정 인터뷰 프로젝트",2012,"김성균",1,20,"다큐멘터리",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"청출어람",2012,"박찬욱",2,3,"드라마","판타지","송강호","주연","전효정","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
